"Cadmium";"Emissions to water";;"kg";"2712fe5f-0d3c-4c8e-8bc4-26c604413849";"Cadmium, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, river, TZ";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Dinitrogen monoxide";"Emissions to air";"low. pop.";"kg";"afd6d670-bbb0-4625-9730-04088a5b035e";"Dinitrogen monoxide";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, salt, sole";"Resources";"in water";"m3";"79238018-8ec1-4615-9469-2b0df95a43c3";"Water, salt, sole";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Diethylamine";"Emissions to air";"high. pop.";"kg";"7e7039a1-6186-4ef6-a7e6-d135b7fe5601";"Diethylamine";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Uranium";"Emissions to air";"low. pop.";"kg";"2e518059-747c-4ff1-8da3-17134c547ac2";"Uranium";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Metamitron";"Emissions to soil";"agricultural";"kg";"fbebc389-bce6-4540-8869-50076139f370";"Metamitron";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Vinclozolin";"Emissions to soil";"agricultural";"kg";"7db70809-e30b-4633-992e-2cfe03891907";"Vinclozolin";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Volume occupied, final repository for low-active radioactive waste";"Resources";"in ground";"m3";"f6df5030-8e06-4276-bfeb-219db8dab104";"Volume occupied, final repository for low-active radioactive waste";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Methane, dichloro-, HCC-30";"Emissions to air";"high. pop.";"kg";"2716807d-0266-48ff-bb7a-6e6c5fbfd5c5";"Methane, dichloro-, HCC-30";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, NL";"Emissions to water";"river";"m3";"22f7036b-d608-4e79-844f-7ccf7ca409e8";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Water, CZ";"Emissions to water";"groundwater";"m3";"6e9312ec-1e02-4232-9589-0746bc67d4e6";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"2-Propanol";"Emissions to water";"river";"kg";"caeb15fa-9711-4d37-99a2-d12c7823b8bc";"2-Propanol";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Nickel";"Emissions to water";"river";"kg";"9798359e-a3ee-4362-a038-23a188582c6e";"Nickel, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Ethane, 1,1,1-trichloro-, HCFC-140";"Emissions to water";"river";"kg";"9b77be37-3f9d-4ecf-b7b1-86e8390bcf2e";"Ethane, 1,1,1-trichloro-, HCFC-140";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Particulates, < 2.5 um";"Emissions to air";"low. pop.";"kg";"66f50b33-fd62-4fdd-a373-c5b0de7de00d";"Particulates, < 2.5 um";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
